humidity,sampleTime,rain10,lighting,pressure,rain,temperature,stationID,wind
73.0,2024-05-27 15:19:00.388838,1,27.88785046728972,1011.0,0.0,25.8,stazione,0.0
71.0,2024-05-27 15:19:06.091244,1,27.962616822429908,1011.02,0.0,25.8,stazione,0.0
68.0,2024-05-27 15:19:11.817362,1,28.11214953271028,1011.12,0.0,25.8,stazione,0.0
64.0,2024-05-27 15:19:17.605131,1,28.261682242990656,1011.03,0.0,25.8,stazione,0.0
60.0,2024-05-27 15:19:23.309599,1,28.33644859813084,1010.96,0.0,25.8,stazione,0.0
58.0,2024-05-27 15:19:29.014835,1,28.261682242990656,1011.05,0.0,25.8,stazione,0.0
56.0,2024-05-27 15:19:34.731267,1,27.364485981308412,1010.89,0.0,25.8,stazione,0.0
54.0,2024-05-27 15:19:40.437228,0,26.242990654205606,1010.99,0.0,25.8,stazione,0.0
54.0,2024-05-27 15:19:46.150919,0,26.093457943925234,1010.91,0.0,25.8,stazione,0.0
54.0,2024-05-27 15:19:51.938687,0,26.242990654205606,1011.02,0.0,25.8,stazione,0.0
53.0,2024-05-27 15:19:57.655283,0,26.018691588785046,1011.02,0.0,25.8,stazione,0.0
52.0,2024-05-27 15:20:03.368694,0,26.018691588785046,1011.04,0.0,25.8,stazione,0.0
52.0,2024-05-27 15:20:09.070887,0,24.598130841121495,1011.08,0.0,25.8,stazione,0.0
52.0,2024-05-27 15:20:15.078698,0,25.94392523364486,1010.94,0.0,25.8,stazione,0.0
51.0,2024-05-27 15:20:20.806885,0,24.672897196261683,1011.02,0.0,25.8,stazione,0.0
51.0,2024-05-27 15:20:26.503488,0,24.747663551401867,1010.86,0.0,25.8,stazione,0.0
51.0,2024-05-27 15:20:32.210388,0,24.822429906542055,1011.07,0.0,25.8,stazione,0.0
51.0,2024-05-27 15:20:38.066829,0,26.16822429906542,1010.95,0.0,25.8,stazione,0.0
51.0,2024-05-27 15:20:43.789211,0,26.242990654205606,1011.01,0.0,25.8,stazione,0.0
51.0,2024-05-27 15:20:49.502588,0,26.46728971962617,1011.05,0.0,25.8,stazione,0.0
51.0,2024-05-27 15:20:55.219423,0,27.065420560747665,1011.04,0.0,25.8,stazione,0.0
51.0,2024-05-27 15:21:00.942694,0,26.8411214953271,1011.04,0.0,25.8,stazione,0.0
51.0,2024-05-27 15:21:06.714007,0,30.2803738317757,1011.01,0.0,25.8,stazione,0.0
51.0,2024-05-27 15:21:12.421948,0,32.0,1011.01,0.0,25.8,stazione,0.0
51.0,2024-05-27 16:05:38.310328,0,13.532710280373832,1010.85,0.0,25.9,stazione,0.0
50.0,2024-05-27 16:06:00.345441,0,14.05607476635514,1010.79,0.0,25.9,stazione,0.0
